location,types,name
New BEL Road,Pubs and bars,8
Old Airport Road,Buffet,11
Old Airport Road,Cafes,5
Old Airport Road,Delivery,146
Old Airport Road,Desserts,28
Old Airport Road,Dineout,136
Old Airport Road,Drinks and nightlife,12
Old Airport Road,Pubs and bars,9
Rajajinagar,Buffet,9
Rajajinagar,Cafes,4
Rajajinagar,Delivery,194
Rajajinagar,Desserts,43
Rajajinagar,Dineout,193
Rajajinagar,Drinks and nightlife,3
Rajajinagar,Pubs and bars,10
Residency Road,Buffet,13
Residency Road,Cafes,17
Residency Road,Delivery,94
Residency Road,Desserts,34
Residency Road,Dineout,164
Residency Road,Drinks and nightlife,39
Residency Road,Pubs and bars,16
Richmond Road,Buffet,31
Richmond Road,Cafes,11
Richmond Road,Delivery,89
Richmond Road,Desserts,30
Richmond Road,Dineout,148
Richmond Road,Drinks and nightlife,4
Richmond Road,Pubs and bars,6
Sarjapur Road,Buffet,21
Sarjapur Road,Cafes,19
Sarjapur Road,Delivery,432
Sarjapur Road,Desserts,71
Sarjapur Road,Dineout,282
Sarjapur Road,Drinks and nightlife,19
Sarjapur Road,Pubs and bars,22
Ulsoor,Buffet,12
Ulsoor,Cafes,29
Ulsoor,Delivery,196
Ulsoor,Desserts,31
Ulsoor,Dineout,195
Ulsoor,Drinks and nightlife,15
Ulsoor,Pubs and bars,13
Whitefield,Buffet,26
Whitefield,Cafes,48
Whitefield,Delivery,862
Whitefield,Desserts,116
Whitefield,Dineout,678
Whitefield,Drinks and nightlife,41
Whitefield,Pubs and bars,33
other,Buffet,86
other,Cafes,149
other,Delivery,2251
other,Desserts,290
other,Dineout,1712
other,Drinks and nightlife,118
other,Pubs and bars,72
